,time,value
0,1483401600000, 11.670619
1,1483488000000, 11.790988
2,1483574400000, 11.858723
3,1483660800000, 11.851323
4,1483920000000, 11.880103
5,1484006400000, 11.900842
6,1484092800000, 11.903717
7,1484179200000, 11.912460
8,1484265600000, 11.829989
9,1484524800000, 11.801081
10,1484611200000, 11.814438
11,1484697600000, 11.801352
12,1484784000000, 11.797732
13,1484870400000, 11.846511
14,1485129600000, 11.895754
15,1485302400000, 11.861598
16,1485388800000, 12.092984
17,1485475200000, 12.106230
18,1485734400000, 12.213466
19,1485820800000, 12.149000
20,1485907200000, 12.194951
21,1485993600000, 12.284884
22,1486080000000, 12.212003
23,1486339200000, 12.249401
24,1486425600000, 12.339545
25,1486512000000, 12.356698
26,1486598400000, 12.345081
27,1486684800000, 12.438281
28,1486944000000, 12.543978
29,1487030400000, 12.545125
30,1487116800000, 12.504905
31,1487203200000, 12.591717
32,1487289600000, 12.653147
33,1487548800000, 12.645416
34,1487635200000, 12.715398
35,1487721600000, 12.886884
36,1487808000000, 12.991895
37,1487894400000, 12.975663
38,1488153600000, 12.819314
39,1488240000000, 12.841971
40,1488326400000, 12.773598
41,1488412800000, 12.963063
42,1488499200000, 12.889400
43,1488758400000, 12.868341
44,1488844800000, 12.859156
45,1488931200000, 12.805326
46,1489017600000, 12.801482
47,1489104000000, 12.755713
48,1489363200000, 12.777911
49,1489449600000, 12.834309
50,1489536000000, 12.830184
51,1489622400000, 12.898837
52,1489708800000, 12.983756
53,1489968000000, 13.013598
54,1490054400000, 12.996897
55,1490140800000, 12.962135
56,1490227200000, 12.893121
57,1490313600000, 12.927546
58,1490572800000, 12.937113
59,1490659200000, 12.870992
60,1490745600000, 12.925623
61,1490832000000, 12.902555
62,1490918400000, 12.948250
63,1491177600000, 12.925806
64,1491264000000, 13.041666
65,1491350400000, 13.059128
66,1491436800000, 13.116218
67,1491523200000, 13.147306
68,1491782400000, 13.176241
69,1491868800000, 13.158198
70,1491955200000, 13.091602
71,1492041600000, 13.093385
72,1492128000000, 13.149762
73,1492473600000, 13.149466
74,1492560000000, 13.130074
75,1492646400000, 13.142531
76,1492732800000, 13.169880
77,1492992000000, 13.165812
78,1493078400000, 13.299188
79,1493164800000, 13.360898
80,1493251200000, 13.395581
81,1493337600000, 13.336391
82,1493683200000, 13.398302
83,1493769600000, 13.431571
84,1493856000000, 13.405258
85,1493942400000, 13.417116
86,1494201600000, 13.507438
87,1494288000000, 13.535099
88,1494374400000, 13.636593
89,1494460800000, 13.624980
90,1494547200000, 13.667053
91,1494806400000, 13.736238
92,1494892800000, 13.826922
93,1494979200000, 13.784080
94,1495065600000, 13.733712
95,1495152000000, 13.665659
96,1495411200000, 13.781322
97,1495497600000, 13.860878
98,1495584000000, 13.791247
99,1495670400000, 13.847191
100,1495756800000, 13.941410
101,1496016000000, 13.962688
102,1496102400000, 13.980411
103,1496188800000, 13.974192
104,1496361600000, 14.044116
105,1496707200000, 14.086758
106,1496793600000, 14.053688
107,1496880000000, 14.079534
108,1496966400000, 14.087856
109,1497225600000, 14.026436
110,1497312000000, 13.906168
111,1497398400000, 13.933684
112,1497484800000, 13.981145
113,1497571200000, 13.871352
114,1497830400000, 13.933100
115,1497916800000, 13.939433
116,1498003200000, 13.858942
117,1498089600000, 13.859084
118,1498176000000, 13.778155
119,1498435200000, 13.780896
120,1498521600000, 13.816137
121,1498608000000, 13.761959
