date,value
11/2/2016,991.83
11/3/2016,990.36
11/4/2016,987.32
11/7/2016,997.97
11/8/2016,997.67
11/9/2016,1003.73
11/10/2016,1006.15
11/11/2016,1003.43
11/14/2016,1007.58
11/15/2016,1008.91
11/16/2016,1009.43
11/17/2016,1011.03
11/18/2016,1011.56
11/21/2016,1012.88
11/22/2016,1016.27
11/23/2016,1017.72
11/24/2016,1018.08
11/25/2016,1018.38
11/28/2016,1016.4
11/29/2016,1015.22
11/30/2016,1016.75
12/1/2016,1014.02
12/2/2016,1013.69
12/5/2016,1013.68
12/6/2016,1015.47
12/7/2016,1024.51
12/8/2016,1030.53
12/9/2016,1034.58
12/12/2016,1031.9
12/13/2016,1035.34
12/14/2016,1031.54
12/15/2016,1037.71
12/16/2016,1039.28
12/19/2016,1039.72
12/20/2016,1042.79
12/21/2016,1040.93
12/22/2016,1037.86
12/23/2016,1037.23
12/27/2016,1040.36
12/28/2016,1040.23
12/29/2016,1038.25
12/30/2016,1037.15
1/2/2017,1035.93
1/3/2017,1044.94
1/4/2017,1051.24
1/5/2017,1047.25
1/6/2017,1048.65
1/9/2017,1048.12
1/10/2017,1045.63
1/11/2017,1051.53
1/12/2017,1042.66
1/13/2017,1044.27
1/16/2017,1042.88
1/17/2017,1039.63
1/18/2017,1041.67
1/19/2017,1042.32
1/20/2017,1041.22
1/23/2017,1038.04
1/24/2017,1040.03
1/25/2017,1045.87
1/26/2017,1046.77
1/27/2017,1045.6
1/30/2017,1041.41
1/31/2017,1038.04
2/1/2017,1038.5
2/2/2017,1036.68
2/3/2017,1040.22
2/6/2017,1042.27
2/7/2017,1047.09
2/8/2017,1045.83
2/9/2017,1051.42
2/10/2017,1056.6
2/13/2017,1059.27
2/14/2017,1059.55
2/15/2017,1062
2/16/2017,1059.75
2/17/2017,1061.39
2/20/2017,1062.87
2/21/2017,1070.84
2/22/2017,1073.55
2/23/2017,1072.54
2/24/2017,1069.49
2/27/2017,1069.84
2/28/2017,1066.72
3/1/2017,1073.37
3/2/2017,1073.41
3/3/2017,1070.33
3/6/2017,1067.03
3/7/2017,1064.57
3/8/2017,1062.17
3/9/2017,1058.44
3/10/2017,1057.41
3/13/2017,1058.8
3/14/2017,1059.84
3/15/2017,1063.6
3/16/2017,1063.9
3/17/2017,1062.77
3/20/2017,1061.38
3/21/2017,1055.45
3/22/2017,1053.93
3/23/2017,1057.92
3/24/2017,1056.61
3/27/2017,1051.48
3/28/2017,1056.44
3/29/2017,1061.13
3/30/2017,1063.24
3/31/2017,1063.47
4/3/2017,1065.75
4/4/2017,1065.9
4/5/2017,1067.74
4/6/2017,1069.35
4/7/2017,1072.23
4/10/2017,1073.57
4/11/2017,1072.12
4/12/2017,1071.66
4/13/2017,1069.8
4/18/2017,1067.5
4/19/2017,1065.2
