date,value
2016-07-15,903.92
2016-07-18,909.61
2016-07-19,913.81
2016-07-20,918.83
2016-07-21,918.6
2016-07-22,918.29
2016-07-25,921.02
2016-07-26,921.38
2016-07-27,923.79
2016-07-28,921.22
2016-07-29,921.67
2016-08-01,920.84
2016-08-02,918.92
2016-08-03,913.83
2016-08-04,921.49
2016-08-05,926.34
2016-08-08,935.4
2016-08-09,940.15
2016-08-10,938.87
2016-08-11,942.37
2016-08-12,939.34
2016-08-16,940.64
2016-08-17,938.78
2016-08-18,941.8
2016-08-19,938.9
2016-08-22,936.06
2016-08-23,938.56
2016-08-24,945.95
2016-08-25,945.21
2016-08-26,948.84
2016-08-29,948.38
2016-08-30,953.28
2016-08-31,953.96
2016-09-01,952.46
2016-09-02,952.93
2016-09-05,956.45
2016-09-06,959.32
2016-09-07,965.95
2016-09-08,965.92
2016-09-09,958.73
2016-09-12,945.54
2016-09-13,946.76
2016-09-14,947.85
2016-09-15,950.64
2016-09-16,950.24
2016-09-19,955.1
2016-09-20,953.8
2016-09-21,956.91
2016-09-22,962.65
2016-09-23,958.58
2016-09-26,951.25
2016-09-27,947.67
2016-09-28,948.9
2016-09-29,954.69
2016-09-30,946.46
2016-10-03,951.16
2016-10-04,959.17
2016-10-05,961.37
2016-10-06,962.51
2016-10-07,964.3
2016-10-10,962.85
2016-10-11,961.41
2016-10-12,960.83
2016-10-13,954.64
2016-10-14,959.48
2016-10-17,958.96
2016-10-18,964.3
2016-10-19,970.25
2016-10-20,972.32
2016-10-21,969.47
2016-10-24,972.91
2016-10-25,966.04
2016-10-26,966.62
2016-10-27,969.94
2016-10-28,972.3
2016-10-31,970.81
2016-11-01,971.31
2016-11-02,959.48
2016-11-03,963.76
2016-11-04,958.44
2016-11-07,962.74
2016-11-08,964.07
2016-11-09,960.44
2016-11-10,965.42
2016-11-11,965.39
2016-11-14,961.83
2016-11-15,963.38
2016-11-16,959.73
2016-11-17,959.28
2016-11-18,954.93
2016-11-21,958.1
2016-11-22,962.15
2016-11-23,961.66
2016-11-24,961.94
2016-11-25,962.44
2016-11-28,956.4
2016-11-29,958.36
2016-11-30,958.1
2016-12-02,965.45
2016-12-05,966.47
2016-12-06,966.41
2016-12-07,966.66
2016-12-08,969.45
2016-12-09,970.0
2016-12-12,973.17
2016-12-13,981.84
2016-12-14,986.26
2016-12-15,985.58
2016-12-16,993.02
2016-12-19,993.86
2016-12-20,993.49
2016-12-21,993.25
2016-12-22,995.0
2016-12-23,994.72
2016-12-27,997.5
2016-12-28,998.15
2016-12-29,1001.42
2016-12-30,1004.7
2017-01-03,1015.17
2017-01-04,1021.07
2017-01-05,1020.4
2017-01-06,1022.9
2017-01-09,1024.65
2017-01-10,1024.88
2017-01-11,1025.62
2017-01-12,1018.37
2017-01-13,1015.81
2017-01-16,1016.91
2017-01-17,1015.74
2017-01-18,1015.4
2017-01-19,1019.66
2017-01-20,1023.99
2017-01-23,1020.91
2017-01-24,1023.04
2017-01-25,1041.29
2017-01-26,1042.43
2017-01-27,1051.87
2017-01-30,1046.12
2017-01-31,1050.15
2017-02-01,1058.05
2017-02-02,1051.6
2017-02-03,1054.88
2017-02-06,1062.76
2017-02-07,1064.25
2017-02-08,1063.2
2017-02-09,1071.39
2017-02-10,1080.68
2017-02-13,1080.71
2017-02-14,1077.14
2017-02-15,1084.77
2017-02-16,1090.16
2017-02-17,1089.45
2017-02-20,1095.55
2017-02-21,1110.65
2017-02-22,1119.89
2017-02-23,1118.43
2017-02-24,1104.61
2017-02-27,1106.53
2017-02-28,1100.47
2017-03-01,1117.21
2017-03-02,1110.66
2017-03-03,1108.77
2017-03-06,1107.89
2017-03-07,1103.1
2017-03-08,1102.73
2017-03-09,1098.66
2017-03-10,1100.6
2017-03-13,1105.51
2017-03-14,1105.13
2017-03-15,1111.16
2017-03-16,1118.64
2017-03-17,1121.25
2017-03-20,1119.7
2017-03-21,1116.61
2017-03-22,1110.49
2017-03-23,1113.5
2017-03-24,1114.33
2017-03-27,1108.41
2017-03-28,1113.22
2017-03-29,1111.15
2017-03-30,1115.17
2017-03-31,1113.16
2017-04-03,1123.33
2017-04-04,1124.85
2017-04-05,1129.87
2017-04-06,1132.59
2017-04-07,1135.12
2017-04-10,1133.45
2017-04-11,1127.55
2017-04-12,1127.68
2017-04-13,1132.63
2017-04-18,1130.77
2017-04-19,1131.85
2017-04-20,1134.23
2017-04-21,1133.85
2017-04-24,1145.51
2017-04-25,1150.91
2017-04-26,1153.94
2017-04-27,1148.71
2017-04-28,1154.07
2017-05-02,1156.94
2017-05-03,1154.6
2017-05-04,1155.62
2017-05-05,1163.51
2017-05-08,1165.86
2017-05-09,1174.73
2017-05-10,1173.68
2017-05-11,1177.34
2017-05-12,1183.37
2017-05-15,1191.22
2017-05-16,1187.45
2017-05-17,1183.01
2017-05-18,1177.04
2017-05-19,1187.12
2017-05-22,1193.98
2017-05-23,1187.88
2017-05-24,1192.73
2017-05-25,1200.91
2017-05-26,1202.74
2017-05-29,1204.2
2017-05-30,1203.63
2017-05-31,1209.68
2017-06-01,1209.71
2017-06-02,1213.33
2017-06-06,1210.34
2017-06-07,1212.55
2017-06-08,1213.25
2017-06-09,1207.88
2017-06-12,1197.35
2017-06-13,1199.71
2017-06-14,1203.79
2017-06-15,1194.25
2017-06-16,1199.57
2017-06-19,1200.03
2017-06-20,1193.03
2017-06-21,1193.01
2017-06-22,1185.98
2017-06-23,1186.19
2017-06-26,1189.17
2017-06-27,1184.45
2017-06-28,1177.87
2017-06-29,1156.11
2017-06-30,1154.32
2017-07-03,1156.67
2017-07-04,1168.9
2017-07-05,1188.62
2017-07-06,1184.84
2017-07-07,1179.59
2017-07-10,1185.57
2017-07-11,1188.0
2017-07-12,1195.58
2017-07-13,1198.56
2017-07-14,1197.74
2017-07-17,1202.97
2017-07-18,1207.58
2017-07-19,1212.52
2017-07-20,1217.89
2017-07-21,1214.81
2017-07-24,1211.95
2017-07-25,1212.25
2017-07-26,1214.61
2017-07-27,1214
2017-07-28,1211.72
2017-07-31,1210.16
2017-08-01,1213.43
2017-08-02,1212.11
2017-08-03,1219.65
2017-08-04,1220.77
2017-08-07,1226.56
2017-08-08,1239.32
2017-08-09,1229.69
2017-08-10,1220.52
2017-08-11,1215.18
2017-08-14,1220.13
2017-08-16,1219.04
2017-08-17,1221.31
2017-08-18,1217.28
2017-08-21,1220.26
2017-08-22,1224.55
2017-08-23,1225.29
2017-08-24,1233.23
2017-08-25,1240.91
2017-08-28,1245.72
2017-08-29,1232.87
2017-08-30,1231.16
2017-08-31,1217.52
2017-09-01,1222.92
