,time,value
0,1483401600000, 19.030540
1,1483488000000, 19.050180
2,1483574400000, 19.048519
3,1483660800000, 19.058082
4,1483920000000, 19.086189
5,1484006400000, 19.068028
6,1484092800000, 19.072287
7,1484179200000, 19.046056
8,1484265600000, 19.013248
9,1484524800000, 19.014146
10,1484611200000, 19.033222
11,1484697600000, 19.041651
12,1484784000000, 19.052390
13,1484870400000, 19.026025
14,1485129600000, 19.018706
15,1485302400000, 19.025771
16,1485388800000, 19.006854
17,1485475200000, 18.987489
18,1485734400000, 18.948812
19,1485820800000, 18.914279
20,1485907200000, 18.903766
21,1485993600000, 18.849271
22,1486080000000, 18.887366
23,1486339200000, 18.929688
24,1486425600000, 18.937381
25,1486512000000, 18.951765
26,1486598400000, 18.947233
27,1486684800000, 18.968742
28,1486944000000, 18.975952
29,1487030400000, 18.993508
30,1487116800000, 18.982881
31,1487203200000, 18.953605
32,1487289600000, 18.968264
33,1487548800000, 18.966956
34,1487635200000, 18.972794
35,1487721600000, 18.976312
36,1487808000000, 18.978391
37,1487894400000, 18.966715
38,1488153600000, 18.976090
39,1488240000000, 18.972048
40,1488326400000, 18.967300
41,1488412800000, 18.953836
42,1488499200000, 18.947554
43,1488758400000, 18.938534
44,1488844800000, 18.946189
45,1488931200000, 18.929821
46,1489017600000, 18.906164
47,1489104000000, 18.899389
48,1489363200000, 18.895977
49,1489449600000, 18.915996
50,1489536000000, 18.921376
51,1489622400000, 18.925696
52,1489708800000, 18.955513
53,1489968000000, 18.960800
54,1490054400000, 18.976616
55,1490140800000, 18.968656
56,1490227200000, 19.001097
57,1490313600000, 19.013802
58,1490572800000, 19.013522
59,1490659200000, 19.038271
60,1490745600000, 19.039924
61,1490832000000, 19.043158
62,1490918400000, 19.056986
63,1491177600000, 19.060641
64,1491264000000, 19.070714
65,1491350400000, 19.078731
66,1491436800000, 19.080437
67,1491523200000, 19.094058
68,1491782400000, 19.114525
69,1491868800000, 19.111780
70,1491955200000, 19.110111
71,1492041600000, 19.094874
72,1492128000000, 19.108412
73,1492473600000, 19.108146
74,1492560000000, 19.123990
75,1492646400000, 19.125022
76,1492732800000, 19.114123
77,1492992000000, 19.118076
78,1493078400000, 19.108023
79,1493164800000, 19.095350
80,1493251200000, 19.085919
81,1493337600000, 19.067361
82,1493683200000, 19.068197
83,1493769600000, 19.068712
84,1493856000000, 19.074747
85,1493942400000, 19.06178
